Date,Open,High,Low,Close,Volume,Market Cap
"Oct 20, 2020",3.99,4.14,3.88,3.91,502694693,3334145297
"Oct 21, 2020",3.91,4.25,3.91,4.14,458018407,3530916223
"Oct 22, 2020",4.14,4.33,4.13,4.27,367309225,3639910112
"Oct 23, 2020",4.27,4.47,4.2,4.27,461816708,3638119606
"Oct 24, 2020",4.27,4.43,4.24,4.36,310306552,3713574041
"Oct 25, 2020",4.36,4.45,4.27,4.34,339106539,3696424432
"Oct 26, 2020",4.34,4.74,4.3,4.73,722990810,4030479550
"Oct 27, 2020",4.73,4.93,4.66,4.68,820401909,3993760877
"Oct 28, 2020",4.68,4.77,4.26,4.37,649971738,3721889676
"Oct 29, 2020",4.37,4.4,3.88,4.05,686597329,3456075113
"Oct 30, 2020",4.05,4.16,3.94,4.09,586577443,3485720265
"Oct 31, 2020",4.09,4.27,4.07,4.18,318678917,3565574466
"Nov 01, 2020",4.18,4.23,4.12,4.23,302861124,3602960876
"Nov 02, 2020",4.23,4.26,3.99,4.03,503474044,3436367636
"Nov 03, 2020",4.03,4.07,3.89,4.03,413471121,3432306462
"Nov 04, 2020",4.03,4.15,3.89,4.1,836536272,3494221350
"Nov 05, 2020",4.1,4.3,4.03,4.24,375265287,3611129170
"Nov 06, 2020",4.24,4.63,4.21,4.58,463200956,3904829692
"Nov 07, 2020",4.58,4.84,4.11,4.24,724809168,3616897050
"Nov 08, 2020",4.24,4.43,4.14,4.37,393903990,3727855176
"Nov 09, 2020",4.37,4.46,4.25,4.35,396903280,3706261141
"Nov 10, 2020",4.35,4.5,4.31,4.42,379322634,3764453584
"Nov 11, 2020",4.42,4.62,4.42,4.46,404513890,3910436471
"Nov 12, 2020",4.46,4.47,4.32,4.4,367161907,3860331526
"Nov 13, 2020",4.4,4.59,4.37,4.54,342519103,3985281156
"Nov 14, 2020",4.54,4.55,4.37,4.47,331350627,3921402330
"Nov 15, 2020",4.47,4.49,4.31,4.38,325439058,3847021230
"Nov 16, 2020",4.38,4.59,4.35,4.49,445672648,3941257093
"Nov 17, 2020",4.61,4.91,4.57,4.84,675069949,4257774182
"Nov 18, 2020",4.84,4.93,4.53,4.68,671452168,4113722908
"Nov 19, 2020",4.68,4.85,4.55,4.76,551607999,4182706632
"Nov 20, 2020",4.76,5.46,4.75,5.23,1027776286,4602682307
"Nov 21, 2020",5.23,5.81,5.14,5.75,1022750932,5060561832
"Nov 22, 2020",5.75,5.83,5.22,5.48,1048639986,4825834134
"Nov 23, 2020",5.48,5.94,5.42,5.91,997956277,5201454893
"Nov 24, 2020",5.91,6.08,5.62,5.73,1113438978,5046372835
"Nov 25, 2020",5.73,5.82,5.18,5.31,1011116414,4677929616
"Nov 26, 2020",5.31,5.37,4.46,4.8,1433368625,4234022691
"Nov 27, 2020",4.81,5.07,4.52,4.78,864684858,4215509966
"Nov 28, 2020",4.78,4.94,4.68,4.9,415083876,4319975484
"Nov 29, 2020",4.9,5.2,4.81,5.19,451787954,4576446420
"Nov 30, 2020",5.19,5.44,5.15,5.38,649773393,4741608246
"Dec 01, 2020",5.38,5.53,5.02,5.09,777715514,4497421389
"Dec 02, 2020",5.09,5.53,5.03,5.46,607216780,4829741979
"Dec 03, 2020",5.46,5.56,5.34,5.41,354593131,4783391737
"Dec 04, 2020",5.41,5.43,4.97,5.03,422944392,4453957346
"Dec 05, 2020",5.03,5.19,4.89,5.19,408952852,4592436805
